question,text,question_clean
From what groups do the supporters of Arsenal come?,variety of social classes,groupsupporterarsenalcome
Where were the Zapatist forces from?,Morelos,zapatistforce
How many band members wrote Queen's One Vision?,four,manybandmemberwrotequeenonevision
Where had Rick Sutcliffe been before moving to the Cubs?,the Cleveland Indians,ricksutcliffemovingcub
What is the goal of Civano?,showcase ecologically sound building practices and lifestyles,goalcivano
"""The East"" refers to what?",The rest of the Ottoman domain,eastrefers
What position in the army did he become after office school?,sergeant,positionarmybecomeofficeschool
The first two-stage rocket was developed in what year?,1949,firsttwostagerocketdevelopedyear
When was the United Grand Lodge of England Formed?,1813,unitedgrandlodgeenglandformed
What percentages of voters expressed unhappiness with the current political relationship between the U.S. and Puerto Rico?,54%,percentagevoterexpressedunhappinesscurrentpoliticalrelationshipupuertorico
"The Mir Osman Ali Khan had a title, what was it?",the VIIth Nizam,mirosmanalikhantitle
In which year did the AAUP release their study?,2000,yearaaupreleasestudy
What was the name of Universal's French distribution company?,Universal Pictures France,nameuniversalfrenchdistributioncompany
What percent of normal matter is hydrogen?,75%,percentnormalmatterhydrogen
What does the green colour of Malachite on the Golden Boot represent?,the green field of play,greencolourmalachitegoldenbootrepresent
What percentage of clerics were members of the Academy of Science?,13 percent,percentageclericmemberacademyscience
What type of Spanish clothings were worn for the video La Ista Bonita?,boleros and layered skirts,typespanishclothingwornvideolaistabonita
Where did a lot of Germans settle? ,between the Susquehanna and Delaware Rivers,lotgermansettle
When was the Berlin Decree issued?,November 1806,berlindecreeissued
Who believes that they were victorious in the war?,North Korea,beliefvictoriouswar
What Richmond neighborhood is home to the Jefferson Hotel?,Monroe Ward,richmondneighborhoodhomejeffersonhotel
How did Gaddafi announced his leadership?:,Addressing the populace by radio,gaddafiannouncedleadership
How do Ismailis differ from Twelvers?,living imams,ismailidiffertwelvers
What does Geschichte des Hellenismus mean?,History of Hellenism,geschichtedehellenismusmean
What does each state posess?,"state constitutions, state governments, and state courts",stateposess
Who argued that drug regulators were greater serving the interests of the drug companies than the patients?,Ben Goldacre,argueddrugregulatorgreaterservinginterestdrugcompanypatient
The contract with what non-Disney studio prevents some parks from using Marvel characters?,Universal Studios,contractnondisneystudiopreventsparkusingmarvelcharacter
In what year did Kodak start using a different way of characterizing two sensors?,2001,yearkodakstartusingdifferentwaycharacterizingtwosensor
What year did William R. Brody join the IBM Board of Directors?,'07,yearwilliamrbrodyjoinibmboarddirector
Why does the CAV format prevent crosstalk?,the rotational speed never varies,cavformatpreventcrosstalk
"What's the English type equivalent for the Dutch word order that is an interrogative pronoun/expression, then a verb followed by a subject?",a wh-question,whatsenglishtypeequivalentdutchwordorderinterrogativepronounexpressionverbfollowedsubject
Around how many years ago is the current ice age pattern believed to have begun?,40 million years,aroundmanyyearagocurrenticeagepatternbelievedbegun
Where sort of activism did Gaddafi promote while attending secondary school?,Arab nationalist activism,sortactivismgaddafipromoteattendingsecondaryschool
"What son of Gaddafi, present in the convoy, was found dead shortly after being captured?",Mutassim,songaddafipresentconvoyfounddeadshortlycaptured
Do roots contain chlorophyll?,generally lack chlorophyll,rootcontainchlorophyll
What is the country music festival in Detroit called?,Hoedown,countrymusicfestivaldetroitcalled
Noyce's IC was made up of what material?,silicon,noycesicmadematerial
What was the last African country to still have significant Polio problems?,Nigeria,lastafricancountrystillsignificantpolioproblem
Who was the winner of the 2014 Nobel prize in literature?,Patrick Modiano,winner2014nobelprizeliterature
When were the earliest Upanishads composed?,7th and 6th centuries BC,earliestupanishadcomposed
What type of wine is fermented with grape skin?,red wine,typewinefermentedgrapeskin
Who were targeted by restrictive laws passed in Southern states at the end of the 19th century?,African Americans,targetedrestrictivelawpassedsouthernstateend19thcentury
On what day was Alaska officially named a state?,"January 3, 1959",dayalaskaofficiallynamedstate
What color are the US SNES controllers' A and B buttons?,purple,colorusnescontrollerbbutton
The organization stated that analysis should be based on comparison of neighborhoods within the city and not what?,based on municipalities,organizationstatedanalysisbasedcomparisonneighborhoodwithincity
What day was the Olympic torch lit for the 2008 games?,March 24,dayolympictorchlit2008game
What is the mode of travel for Antarctic tours?,small or medium ship,modetravelantarctictour
What sportswear company has a deal with the University of Kansas?,Adidas,sportswearcompanydealuniversitykansa
Why were sanctions place on Liberian timber exports?,were believed to be funding rebels in Sierra Leone.,sanctionplaceliberiantimberexport
The mosaics in churches of Ravello prove what?,mosaic art was widespread,mosaicchurchravelloprove
What did Adam Smith's work cover?,The basis for classical economics,adamsmithworkcover
What was the first mass-produced transistor?,bipolar junction transistor,firstmassproducedtransistor
Who did Victoria marry?,Prince Albert,victoriamarry
Insects formed mechanisms to shield against what?,plant toxins,insectformedmechanismshield
What is the name of Kanye's album released in 2010?,My Beautiful Dark Twisted Fantasy,namekanyesalbumreleased2010
How many votes must be in favor of the exemption in order to award the exemption?,Five,manyvotemustfavorexemptionorderawardexemption
What decade was the Charleston dance popular nationally?,1920s,decadecharlestondancepopularnationally
What degree programs are offered by the George Warren Brown School of Social Work?,"Master of Social Work (MSW), a Master of Public Health (MPH), a PhD in Social Work, and a PhD in Public Health Sciences",degreeprogramofferedgeorgewarrenbrownschoolsocialwork
"Using a total blockade and air raids, what did the US Navy hope to force?",Japanese surrender,usingtotalblockadeairraidunavyhopeforce
What was the point of public procession to the god's temples?,supplicating the gods,pointpublicprocessiongodtemple
When was the Labout party defeated?,1979,laboutpartydefeated
Who was Winston Churchill's predecessor?,Neville Chamberlain,winstonchurchillpredecessor
How many legal jurisdictions are Swiss citizens subject to?,three,manylegaljurisdictionswisscitizensubject
Who made an effort to organize a strong defense against the French?,President Juárez,madeeffortorganizestrongdefensefrench
What does informal leaning usually consist of amongst people who take this route of learning?,"language acquisition, cultural norms and manners",informalleaningusuallyconsistamongstpeopletakeroutelearning
What is the Portuguese term for ordinary laws?,leis ordinárias,portuguesetermordinarylaw
Which former lieutenant of Caesar was considered a public threat after Caesar was assassinated?,Mark Antony,formerlieutenantcaesarconsideredpublicthreatcaesarassassinated
"By what year was it argued that the Ottoman empire was merely ""a shadow"" of what it was in 1566?",1699,yeararguedottomanempiremerelyshadow1566
"In addition to the Thornhill and Townhill Park districts, what other district has a council estate?",Weston,additionthornhilltownhillparkdistrictdistrictcouncilestate
355 copper alloys have been proven to kill what percentage of bacteria?,99.9%,355copperalloyprovenkillpercentagebacteria
What does AlGaN stand for?,Aluminium gallium nitride,alganstand
What used composite video output?,HVC-101,usedcompositevideooutput
In 2006 Somerset students performed how well compared to England as a whole ,"In 2006, 5,900 pupils in Somerset sat GCSE examinations, with 44.5% achieving 5 grades A-C including English and Maths (compared to 45.8% for England).",2006somersetstudentperformedwellcomparedenglandwhole
What type of synthesis occurs in the 5'→3' direction?,Nucleic acid synthesis,typesynthesisoccurs53direction
"Once activatated, what is the only way to deactivate it?",The elevator can now only be moved by the corresponding 'Access' key switches,activatatedwaydeactivate
What terms describe different types of radiation?,"""frequency"" and ""wavelength""",termdescribedifferenttyperadiation
Which lake is the largest in China?,Qinghai Lake,lakelargestchina
What type of production techniques did Dennis Bovell develop?,innovative,typeproductiontechniquedennisbovelldevelop
What happened regarding DST in 2007 in the United States that probably led to the DOE investigation?,extension of DST,happenedregardingdst2007unitedstateprobablyleddoeinvestigation
Leibnitz held that there is a reason that is sufficient to explain what and why it is the way it is and not otherwise for every what?,fact,leibnitzheldreasonsufficientexplainwayotherwiseevery
"What is the Kathmandu Valley's average temperature in winter, in degrees Fahrenheit?",50.2,kathmanduvalleyaveragetemperaturewinterdegreefahrenheit
"Every state, other than the free states, consist of districts called what?","""rural districts""",everystatefreestateconsistdistrictcalled
Which CBS correspondant graduated from The Medill School of Journalism?,Richard Threlkeld,cbscorrespondantgraduatedmedillschooljournalism
Who tried to convert Frisians,English and Irish missionaries set out to convert the Frisians,triedconvertfrisian
How many feet above sea level is the City of Boston?,19 ft,manyfootsealevelcityboston
"What is the track ""moDernisT"" an anagram of?",Tom's Diner,trackmodernistanagram
Who was the leader of the East Prussian Nazi Party?,Erich Koch,leadereastprussiannaziparty
Who encouraged cathedral architects to allow as much light as possible into the building?,the Abbot Suger,encouragedcathedralarchitectallowmuchlightpossiblebuilding
What science was botany considered to be a part of?,medicine,sciencebotanyconsideredpart
What was the expedition called that Charles Darwin discovered some of his evidence?,Beagle expedition,expeditioncalledcharlesdarwindiscoveredevidence
For radio broadcast that one would hear in their car what type of towers are used?,vertical,radiobroadcastonewouldhearcartypetowerused
Which disease in particular caused the Aboriginal population to continue a decline?,smallpox,diseaseparticularcausedaboriginalpopulationcontinuedecline
Where are Neptune's dark spots thought to occur? ,in the troposphere,neptunedarkspotthoughtoccur
What type of storm is a major threat to Charleston in the summer and early fall?,Hurricanes,typestormmajorthreatcharlestonsummerearlyfall
What will Argo visit?,"Jupiter, Saturn, Neptune, and a Kuiper belt object",argovisit
What kind of recorder is no longer produced for the consumer market?,Analog tape,kindrecorderlongerproducedconsumermarket
"What word literally means ""warding off evil?""",Alexicacus,wordliterallymeanwardingevil
What was the federalist party of the United States opposed to?,Democratic-Republicans,federalistpartyunitedstateopposed
What did Bell create in 1881?,metal detector,bellcreate1881
What happened to The reformers in the Qing dynasty? ,either imprisoned or executed outright.,happenedreformerqingdynasty
"Shumer, an Akkadian word, could reference what type of name?",geographical,shumerakkadianwordcouldreferencetypename
Who accompanies the digimon as they work to save their world?,a group of mostly pre-teens,accompaniesdigimonworksaveworld
How many halls are at Notre Dame that house students?,29,manyhallnotredamehousestudent
What does LSO stand for?,landing signal officer,lsostand
What do Margaret Stout and Carrie M. Staton view as commonalities between Whitehead and Follett?,"ontology that ""understands becoming as a relational process; difference as being related, yet unique; and the purpose of becoming as harmonizing difference.""",margaretstoutcarriestatonviewcommonalitywhiteheadfollett
How is wood broken down into chips and fibers?,mechanically,woodbrokenchipfiber
What ranking was Oklahoma City in for the American College of Sports Medicine in 2010?,last place,rankingoklahomacityamericancollegesportmedicine2010
The Chinese State Press said the French newspaper was supporting a handful of what?,saboteurs,chinesestatepresssaidfrenchnewspapersupportinghandful
Was sound quality from disc to disc and between players consistent or varied?,varied greatly,soundqualitydiscdiscplayerconsistentvaried
The decrease in crime in New York is sometimes attributed to the decline of what street drug?,crack,decreasecrimenewyorksometimesattributeddeclinestreetdrug
When did the Jin court head South?,317,jincourtheadsouth
What does Bruno Wenn of the German DEG recommend to attract new investors?,sound economic policymaking and good governance,brunowenngermandegrecommendattractnewinvestor
How can hunting actually increase the population of predators?,by removing territorial bounds that would otherwise be established,huntingactuallyincreasepopulationpredator
Name 6 important Philadelphia architects?,"Benjamin Latrobe, William Strickland, John Haviland, John Notman, Thomas U. Walter, and Samuel Sloan",name6importantphiladelphiaarchitect
Where was the first #G surface game played? ,first match in the proper rounds to be played on a 3G surface was a televised first round replay at Maidstone United's Gallagher Stadium on 20 November 2015.,firstgsurfacegameplayed
Which section of the city receives hot water from geothermal power through the West Quay plant?,Southampton District Energy Scheme,sectioncityreceiveshotwatergeothermalpowerwestquayplant
How many school children died due to shoddy construction?,thousands,manyschoolchilddieddueshoddyconstruction
In which year did the state begin to reinforce defense?,1843,yearstatebeginreinforcedefense
What is the output level measured in?,the sRGB output from the camera,outputlevelmeasured
Which singer did Beyoncé portray in Cadillac Records?,Etta James,singerbeyoncéportraycadillacrecord
What do Eritrean's offer a person who declines coffee?,most likely tea,eritreanofferpersondeclinecoffee
How many main geographical sections make up North Carolina?,three,manymaingeographicalsectionmakenorthcarolina
What may a person display in terms of both exploration and commitments?,relative weakness or relative strength,maypersondisplaytermexplorationcommitment
"Who declared Chinese South Africans as ""Black People""?",the High Court in South Africa,declaredchinesesouthafricanblackpeople
"By the weekend after its China release, how much had revenue decreased?",75%,weekendchinareleasemuchrevenuedecreased
What may we assume the parties to a treaty intended the treaty's obligations to be if the treaty included an expiration date?,temporarily binding,mayassumepartytreatyintendedtreatyobligationtreatyincludedexpirationdate
What outlines the ongoing implementation of the Cyber Security Strategy?,The Action Plan 2010–2015 for Canada's Cyber Security Strategy,outlineongoingimplementationcybersecuritystrategy
Where was the signing of the ANZUS Treaty held in 1951?,San Francisco,signinganzustreatyheld1951
What have differences among groups not typically been perceived as being?,"natural, immutable and global",differenceamonggrouptypicallyperceived
When did Torii Mototada die?,1600,toriimototadadie
A heavy penalty for violating FAA reulations could said to be do what?,impact their ability to continue operating,heavypenaltyviolatingfaareulationscouldsaid
What sequence of events happens when the power shuts off in a traction elevator and the elevators all stop?,"One by one, each car in the group will return to the lobby floor, open its doors and shut down",sequenceeventhappenspowershutstractionelevatorelevatorstop
What inventions advanced the study of cognitive science?,PET scans and CAT scans,inventionadvancedstudycognitivescience
Were drums heard on early jazz recordings?,drums could be effectively used,drumheardearlyjazzrecording
Who played a critical role in the formation of the Law and Society program?,Aaron Director,playedcriticalroleformationlawsocietyprogram
What was Nicholas Lezard's description of post-punk?,"""a fusion of art and music""",nicholaslezardsdescriptionpostpunk
What kind of oversight does the separation of powers help to promote?,checks and balances,kindoversightseparationpowerhelppromote
When did the age of great English prose translation begin?,end of the 15th century,agegreatenglishprosetranslationbegin
"Despite not having a good beach, what decade saw  Southampton become popular for sea bathing?",1760s,despitegoodbeachdecadesawsouthamptonbecomepopularseabathing
What would the absence of net neutrality permit? ,ISPs to offer content providers a faster track to send content,wouldabsencenetneutralitypermit
"After his death, how was the emperor's afterlife decided?",vote in the Senate,deathemperorafterlifedecided
What are the technologies used to capture solar energy characterized as?,passive solar or active solar,technologyusedcapturesolarenergycharacterized
What did plastic bags result in ,"Largely due to the displacement of baskets with plastic bags and cardboard boxes, the industry has severely declined since the 1950s",plasticbagresult
"In 1939, what fraction of Jews were killed in The Holocaust?",more than a third,1939fractionjewkilledholocaust
Can invertebrate species of animals like insects feel pain and suffering?,unclear,invertebratespecieanimallikeinsectfeelpainsuffering
In what year was the Sciences Academy of Lisbon founded?,1779,yearscienceacademylisbonfounded
What institutions have been considered to take some its ideas from madaris?,European university,institutionconsideredtakeideamadaris
Federal law overrides what laws?,conflicting state and territorial laws,federallawoverridelaw
"Buddha rejected the assertion ""I have a Self"" and what other related assertion?","""I have no Self""",buddharejectedassertionselfrelatedassertion
What language does the word Music see it's origins in?,Greek,languagewordmusicseeorigin
What was Phillip's coronation song?,Home,phillipscoronationsong
What part of a polychaete can be everted?,pharynx,partpolychaeteeverted
What were rockets called at this time?,unrotated projectiles,rocketcalledtime
What has attracted negative attention about comments on youtube besides their content?,their form,attractednegativeattentioncommentyoutubebesidescontent
When did construction on the Tribhuvan Highway begin?,1956,constructiontribhuvanhighwaybegin
Lionel Robbins' The Great Depression was a result of his support for what?,the Austrian theory of the business cycle,lionelrobbinsgreatdepressionresultsupport
Who was the first Spanish Governor of Guam?,Francisco de Irrisarri y Vinar,firstspanishgovernorguam
Who became violent during the relay route and was promised deportation when caught?,Chinese students,becameviolentrelayroutepromiseddeportationcaught
What was Detroit's rate of violent crimes in 2008?,"16.73 per 1,000",detroitrateviolentcrime2008
"In addition to wars with the French and the Boer War, in which notable war in the 18th century did Southampton play a role?",the Crimean war,additionwarfrenchboerwarnotablewar18thcenturysouthamptonplayrole
Where in the rankings does Houston's gross domestic product place it compared to other U.S. domestic areas?,fourth-largest,rankinghoustongrossdomesticproductplacecomparedudomesticarea
What action by a pub owner can result in his prosecution?,allowing smoking,actionpubownerresultprosecution
When did CAR ask for assistance from the French against rebels?,November 2006,caraskassistancefrenchrebel
Al-Biruni is a example of a scientists of which religion?,Muslim,albiruniexamplescientistreligion
Who wrote that Madonna is an almost scared feminist icon?,Professor Sut Jhally,wrotemadonnaalmostscaredfeministicon
Slavic-speaking tribes were part of what prior to becoming known to the Roman world?,multi-ethnic confederacies of Eurasia,slavicspeakingtribepartpriorbecomingknownromanworld
What do groups of anthropologists object to the use of anthropology for benefit of?,the state,groupanthropologistobjectuseanthropologybenefit
What type of mathematics aided in developing European science?,Algebra,typemathematicsaideddevelopingeuropeanscience
What is the CGS unit of lumiance?,stilb,cgsunitlumiance
How many copies of Donkey Kong Country were sold in its first 45 days?,6.1 million,manycopydonkeykongcountrysoldfirst45day
Who was known as being a founder of humanism thought in China?,Yellow Emperor,knownfounderhumanismthoughtchina
The band Rush is what nationality?,Canadian,bandrushnationality
How much was China going to invest in the European Galileo positioning system project?,"€230 million (USD296 million, GBP160 million)",muchchinagoinginvesteuropeangalileopositioningsystemproject
How many movies did Nistor dub for secret viewings in Romania?,"3,000",manymovienistordubsecretviewingromania
How was Erichtho portrayed?,stereotypical witch,erichthoportrayed
Which birds often undertake circumpolar trips between breeding seasons?,Albatrosses nesting in the Southern Ocean,birdoftenundertakecircumpolartripbreedingseason
What was the other major party before the Labour party?,Liberal Party,majorpartylabourparty
Are there breed standards used for the competitions?,"Breed standards were drawn up for egg-laying, meat-type, and purely ornamental birds, aiming for uniformity",breedstandardusedcompetition
What did some plants produce when flowers became less simple?,nectar and large sticky pollen,plantproduceflowerbecamelesssimple
How are views on race influenced?,ideologically,viewraceinfluenced
Who provides law enforcement within Tennessee's state parks?,Tennessee State Park Rangers,provideslawenforcementwithintennesseestatepark
What is the primary flag-carrier in Portugal?,TAP Portugal,primaryflagcarrierportugal
When does the passion of Jesus fall?,the day before the passover,passionjesusfall
What was the initial launch window of the 360 console?,2005–2006,initiallaunchwindow360console
When did Armenia become a sovereign kingdom?,885 AD,armeniabecomesovereignkingdom
What do respiratory organisms use as electron donors?,chemical compounds,respiratoryorganismuseelectrondonor
Who is helping the Somali Postal service reach its capacity?,Universal Postal Union,helpingsomalipostalservicereachcapacity
Some human foods can be what to dogs?,toxic,humanfooddog
What was happening to Idris' government in the 1960s?,Idris' government was increasingly unpopular by the latter 1960s,happeningidrisgovernment1960s
What was Napoleon's first language?,Corsican,napoleonfirstlanguage
How many people did Ireland lose to the potato blight?,a million,manypeopleirelandlosepotatoblight
What is the name of the earliest dynastic Sumerian king?,Etana,nameearliestdynasticsumerianking
What person recieved a seven year transportation sentence for striking Victoria on the head with his cane? ,Robert Pate,personrecievedsevenyeartransportationsentencestrikingvictoriaheadcane
Which Alaskan indigenous group is now well-known for their art?,the Haida,alaskanindigenousgroupwellknownart
Does the bilateral treaty between Switzerland and the European Union establish rights or obligations amongst the EU and its member states?,it does not,bilateraltreatyswitzerlandeuropeanunionestablishrightobligationamongsteumemberstate
What is an often used term for British withdrawal from the European Union?,Brexit,oftenusedtermbritishwithdrawaleuropeanunion
Which school granted Lee an honory doctorate in 2006?,University of Notre Dame,schoolgrantedleehonorydoctorate2006
Later edition of texts such as what has the Rupa Jhanas?,Majjhima Nikaya,latereditiontextrupajhanas
Emperors from what dynasty recaptured Constantinople in 1261?,Palaeologi,emperordynastyrecapturedconstantinople1261
Who is a notable realistic personal theist?,Saint Thomas Aquinas,notablerealisticpersonaltheist
Polyphony was common in the secular music of which French region?,Provençal,polyphonycommonsecularmusicfrenchregion
The Dodecanese islands are located where?,between Crete and Turkey,dodecaneseislandlocated
What is an important benefit to using copper as an architectural material?,low thermal movement,importantbenefitusingcopperarchitecturalmaterial
The kidnapping of the Duke of Enghien violated the sovereignty of what locale?,Baden,kidnappingdukeenghienviolatedsovereigntylocale
What part of the automaton did Bell create?,skull,partautomatonbellcreate
Where was the letter A places in position?,41hex,letterplaceposition
When did rituals become similar between different Masonic Lodges?,in the later 18th century,ritualbecomesimilardifferentmasoniclodge
"Along with Josh Groban, what notable pop artist started out his career on adult contemporary radio?",Michael Bublé,alongjoshgrobannotablepopartiststartedcareeradultcontemporaryradio
Randomly chosen people from different groups may be more similar to each other than with members of their own what?,cluster,randomlychosenpeopledifferentgroupmaysimilarmember
What group of people were suddenly free to go shopping without fears of being judged or reprimanded? ,women,grouppeoplesuddenlyfreegoshoppingwithoutfearjudgedreprimanded
How were the Ghaznavids different from the original Turkics that migrated into Iran?,These Turks had been Persianized and had adopted Persian models of administration and rulership,ghaznavidsdifferentoriginalturkicmigratediran
Which church officials were responsible for the administration of canon law?,bishops,churchofficialresponsibleadministrationcanonlaw
What settings are climbing elevators used in?,guyed masts or towers,settingclimbingelevatorused
What was prophesised by a sorcerer involving Oleg's death?,certain horse,prophesisedsorcererinvolvingolegsdeath
Artist of the Decade was bestowed upon Beyonce from which magazine?,The Guardian,artistdecadebestoweduponbeyoncemagazine
What is one method to protect the rights of the component states?,intrastate federalism,onemethodprotectrightcomponentstate
Have the changes in Burmese law been of benefit to the country in international views ? ,approval of Myanmar's bid for the position of ASEAN chair in 2014; the visit by United States Secretary of State Hillary Clinton,changeburmeselawbenefitcountryinternationalview
Where is St. Elizabeths medical center located?,Brighton Center,stelizabethmedicalcenterlocated
What suggests that the commercialization of clean energy will hellp countries deal with economic malaise?,commercialization of clean energy,suggestscommercializationcleanenergyhellpcountrydealeconomicmalaise
What atrocity motivated a self-serving USSR to object to the provision of political killings drafted into the Convention?,its own Great Purge,atrocitymotivatedselfservingussrobjectprovisionpoliticalkillingdraftedconvention
Who are some notable musical composers from Portugal?,"José Vianna da Motta, Carlos Seixas, João Domingos Bomtempo, João de Sousa Carvalho, Luís de Freitas Branco and his student Joly Braga Santos",notablemusicalcomposerportugal
What factors have influenced Estonian food for most of their history?,seasons and simple peasant food,factorinfluencedestonianfoodhistory
Since what year has women's football been an Olympic event?,1996,sinceyearwomensfootballolympicevent
What was the maternal mortality rate in 2010?,"990 per 100,000 births",maternalmortalityrate2010
What did the Second Great Awakening create?,the formation of new denominations,secondgreatawakeningcreate
Who imposed the rigorous policy of Germanisation?,Gauleiter Robert Heinrich Wagner,imposedrigorouspolicygermanisation
What year were the Magyars and Pechenges drug into the war?,894,yearmagyarpechengesdrugwar
Despite all the propaganda that ws presented to the East Prussians what did German populations want within the country?,reunification with Germany,despitepropagandawpresentedeastprussiangermanpopulationwantwithincountry
Why were AC motors used?,cost and lower usage applications where car speed and passenger comfort were less of an issue,acmotorused
In what city was the SAE World Congress held in 2009?,Detroit,citysaeworldcongressheld2009
Where was Napoleon Bonaparte die? ,St. Helena,napoleonbonapartedie
When did Kerry become an ADA?,January 1977,kerrybecomeada
What was Liberia's ranking compared to the other 176 countries?,87th,liberiarankingcompared176country
Which party was anti-slavery?,Democratic Party,partyantislavery
What was placed on Jesus' head?,crowned with thorns,placedjesushead
What was Nanjing formerly known as?,Jiankang,nanjingformerlyknown
How much money did Umax lose when it exited the low-end Mac clone market?,USD$36 million,muchmoneyumaxloseexitedlowendmacclonemarket
What does McTaggart believe space and time to be?,unreal,mctaggartbelievespacetime
Who does Scout think could be lonelier than Boo Radley?,Mayella Ewell,scoutthinkcouldlonelierbooradley
What was censored?,drinking scenes from old movies,censored
When was BCCI shut down?,1991,bccishut
Monopole antennas consist of what element?,metal rod,monopoleantennaconsistelement
Which Mountain has the Highest point surrounding Tuscon?,Mount Wrightson,mountainhighestpointsurroundingtuscon
What airline uses Miami International as its biggest international gateway?,American Airlines,airlineusmiamiinternationalbiggestinternationalgateway
How long is a full-time mission for females?,18 months,longfulltimemissionfemale
Where is Emba Soira located?,in the center of Eritrea,embasoiralocated
Who was with Nasser when he died?,"Heikal, Sadat, and Nasser's wife Tahia",nasserdied
What began to spring up around the post-punk music?,independent record labels and fanzines,beganspringaroundpostpunkmusic
How far away can the S-400 detect a target?,90 km away,faraways400detecttarget
What is the Liaoning intended to help the navy practice with?,carrier usage,liaoningintendedhelpnavypractice
When was Morrisania created?,1855,morrisaniacreated
What date were the official numbers of students killed in the earthquake released?,"May 7, 2009",dateofficialnumberstudentkilledearthquakereleased
What industry was monopolized by the government in 98 BC?,Liquor,industrymonopolizedgovernment98bc
When did the capital of the Roman Empire move to Constantinople?,330 AD,capitalromanempiremoveconstantinople
Antidepressants typically affect what chemical of the brain?,Serotonin,antidepressanttypicallyaffectchemicalbrain
What did these early schools during the Middle Ages evolve into?,medieval universities,earlyschoolmiddleageevolve
Where does the Santa Monica Freeway begin around?,Pacific Ocean,santamonicafreewaybeginaround
What percent of the fly genome is similar to the human genome,70%,percentflygenomesimilarhumangenome
To what modern language is Old English similar?,German,modernlanguageoldenglishsimilar
What does IHDI stand for?,Inequality-adjusted Human Development Index,ihdistand
Which league had only three Champions League wins between 1992 and 2013?,Bundesliga,leaguethreechampionleaguewin19922013
In what year did the population of New York first reach an all-time high in this period?,2000,yearpopulationnewyorkfirstreachalltimehighperiod
What year was Boston founded?,1630,yearbostonfounded
In 2010 VH1 ranked Queen at what number on their Greatest Artist of All Time List?,17th,2010vh1rankedqueennumbergreatestartisttimelist
What processes are thought to create an evolution toward genocide?,psychological and social,processthoughtcreateevolutiontowardgenocide
"What was a new, original title originally available from Arcade?",Assault Heroes,neworiginaltitleoriginallyavailablearcade
About when did architecture begin specializing?,Since the 1980s,architecturebeginspecializing
Time is one of the fundamental physical quantities in which two systems?,the International System of Units and International System of Quantities,timeonefundamentalphysicalquantitytwosystem
What is the name of the air-tight glass enclosure in an incandescent bulb?,the envelope,nameairtightglassenclosureincandescentbulb
How long did the new Russian Soviet state go unrecognized by other countries?,five months,longnewrussiansovietstategounrecognizedcountry
What is the total area of Boston?,89.6 square miles,totalareaboston
Does everyone agree with the content of the letter?,others place less value in the letter,everyoneagreecontentletter
In what year was the meeting of the House of Lords Select Committee on Communications that was investigating media ownership and the news?,2007,yearmeetinghouselordselectcommitteecommunicationinvestigatingmediumownershipnews
Insects walking in an alternating triangle is called a what?,tripedal gait,insectwalkingalternatingtrianglecalled
Why were Europe's Empires and Kingdoms dispatched?,surge of Republicanism,europeempirekingdomdispatched
Tito's cause of death was what?,gangrene,titocausedeath
In what season in areas observing permanent daylight saving time will it stay dark the latest in the morning?,winter,seasonareaobservingpermanentdaylightsavingtimestaydarklatestmorning
What is a more recent name for the smooth jazz format?,Smooth AC,recentnamesmoothjazzformat
What is the JK Bridge a nickname for?,The Juscelino Kubitschek bridge,jkbridgenickname
What file system do most removable devices use?,FAT,filesystemremovabledeviceuse
What type of person was the vice-president?,Turkish Cypriot,typepersonvicepresident
"According to Genshin, who has the power to destroy karma?",Amitābha,accordinggenshinpowerdestroykarma
How did the people of Alexandria know when to celebrate Easter?,Festal Letters,peoplealexandriaknowcelebrateeaster
Where did the USSOC Pacific deploy to in Jan 2002?,Philippines,ussocpacificdeployjan2002
Lackluster sales caused Japanese retailers to take what action with the 360?,scaling down and in some cases discontinuing sales,lacklustersalecausedjapaneseretailertakeaction360
What are small monopoles used as?,nondirectional antennas,smallmonopolesused
In what city was the French Academy of Science founded,Paris,cityfrenchacademysciencefounded
"Along with the cingulate cortex and hippocampi, what structure is a notable part of the limbic system?",hypothalamus,alongcingulatecortexhippocampusstructurenotablepartlimbicsystem
"When the merger was passed, what constituent college was created?",The Imperial College of Science and Technology,mergerpassedconstituentcollegecreated
When did Toyotomi Hideyoshi send an army to Korea a second time?,1597,toyotomihideyoshisendarmykoreasecondtime
Who establishd the inviolability of nobles property?,King Władysław II Jagiełło,establishdinviolabilitynobleproperty
What church did Eisenhower join in 1953?,Presbyterian,churcheisenhowerjoin1953
What article in the Namibia constitution supports natural conservation?,Article 95,articlenamibiaconstitutionsupportnaturalconservation
Who invented the point-contact transistor?,Herbert Mataré and Heinrich Welker,inventedpointcontacttransistor
How tall is One World Trade Center in meters?,541.3,talloneworldtradecentermeter
The Ottoman Empire had no choice but to develop their relationship with what country?,Austro-Hungarian Empire,ottomanempirechoicedeveloprelationshipcountry
Who was the first multiracial president elected in the US,In 2008 Barack Obama was elected as the first multiracial President of the United States,firstmultiracialpresidentelectedu
In what decade did Everton experience a revival?,1960s,decadeevertonexperiencerevival
What caused reform efforts to cease in 1997?,civil war,causedreformeffortcease1997
What groups are cited as being considered heretical by the Church before the 11th century?,"Arianism, Pelagianism, Donatism, Marcionism and Montanism",groupcitedconsideredhereticalchurch11thcentury
Who is the author of The Pillow Book?,Sei Shōnagon,authorpillowbook
